committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00387811,AMERICA FIRST PARTY OF MISSISSIPPI,2019,M2,2.01902E+17,21B,SB21B.4625,1313568,ORG,ORGANIZATION,,,PLANTERS BANK AND TRUST COMPANY,MS,,,,,BANK FEES,,,1/2/2019 0:00,6.1,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,28:03.0,,,,0,,,,,,,,,,,,X,,U,F3X,4.02012E+18,GREENWOOD,38935,OTHER,,2020,SB,4.02012E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201902019145453389,Other Federal Operating Expenditures,,,,,,
C00629147,CAL FREEDOM PAC,2019,YE,2.02006E+17,21B,B-420,1415440,ORG,ORGANIZATION,,,CHASE BANK,CA,,,,,BANK FEES,,,7/31/2019 0:00,48,,,,,,,,,,,,,P2020,,PRIMARY,2020,N,NO CHANGE,ITEMIZED DISBURSEMENTS,26:27.1,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,W,,U,F3X,4.06302E+18,CORTE MADERA,94925,OTHER,,2020,SB,4.07012E+18,http://docquery.fec.gov/cgi-bin/fecimg/?202006299244224678,Other Federal Operating Expenditures,,,,,,
C00629147,CAL FREEDOM PAC,2019,YE,2.02006E+17,21B,B-546,1415440,ORG,ORGANIZATION,,,"POLITICAL COMMUNICATIONS, INC",CA,,,,,BANK FEES,,,10/21/2019 0:00,120,,,,,,,,,,,,,P2020,,PRIMARY,2020,N,NO CHANGE,ITEMIZED DISBURSEMENTS,26:27.1,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,W,,U,F3X,4.06302E+18,SAN RAFAEL,94903,OTHER,,2020,SB,4.07012E+18,http://docquery.fec.gov/cgi-bin/fecimg/?202006299244224679,Other Federal Operating Expenditures,,,,,,
C00629147,CAL FREEDOM PAC,2019,YE,2.02006E+17,21B,B-547,1415440,ORG,ORGANIZATION,,,"POLITICAL COMMUNICATIONS, INC",CA,,,,,BANK FEES,,,10/21/2019 0:00,200,,,,,,,,,,,,,P2020,,PRIMARY,2020,N,NO CHANGE,ITEMIZED DISBURSEMENTS,26:27.1,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,W,,U,F3X,4.06302E+18,SAN RAFAEL,94903,OTHER,,2020,SB,4.07012E+18,http://docquery.fec.gov/cgi-bin/fecimg/?202006299244224679,Other Federal Operating Expenditures,,,,,,
C00214148,AMERICAN PEANUT SHELLERS ASSOCIATION POLITICAL ACTION COMMITTEE,2019,Q3,2.02008E+17,21B,SB21B.10616,1431566,ORG,ORGANIZATION,,,REGIONS BANK,GA,,,,,BANK FEES,,,7/31/2019 0:00,327.77,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,49:43.5,,,,0,,,,,,,,,,,,Q,C,B,F3X,4.08122E+18,ALBANY,31702,OTHER,,2020,SB,4.08232E+18,http://docquery.fec.gov/cgi-bin/fecimg/?202008119261292445,Other Federal Operating Expenditures,,,,,,
C00350744,"THE GOLDMAN SACHS GROUP, INC. POLITICAL ACTION COMMITTEE",2019,M2,2.01902E+17,21B,13252549,1316726,ORG,ORGANIZATION,,,CONGRESSIONAL BANK,MD,,,,,BANK FEES,,,1/16/2019 0:00,452,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,23:54.4,,,,0,,,,1,Administrative/Salary/Overhead Expenses ,,,,,,,Q,C,B,F3X,4.02192E+18,POTOMAC,20854,OTHER,BANK FEES,2020,SB,4.02192E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201902199145533229,Other Federal Operating Expenditures,,,,,,
C00214148,AMERICAN PEANUT SHELLERS ASSOCIATION POLITICAL ACTION COMMITTEE,2019,Q3,2.02008E+17,21B,SB21B.10617,1431566,ORG,ORGANIZATION,,,REGIONS BANK,GA,,,,,BANK FEES,,,8/31/2019 0:00,168.37,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,49:43.5,,,,0,,,,,,,,,,,,Q,C,B,F3X,4.08122E+18,ALBANY,31702,OTHER,,2020,SB,4.08232E+18,http://docquery.fec.gov/cgi-bin/fecimg/?202008119261292445,Other Federal Operating Expenditures,,,,,,
C00214148,AMERICAN PEANUT SHELLERS ASSOCIATION POLITICAL ACTION COMMITTEE,2019,Q3,2.02008E+17,21B,SB21B.10618,1431566,ORG,ORGANIZATION,,,REGIONS BANK,GA,,,,,BANK FEES,,,9/30/2019 0:00,814.39,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,49:43.5,,,,0,,,,,,,,,,,,Q,C,B,F3X,4.08122E+18,ALBANY,31702,OTHER,,2020,SB,4.08232E+18,http://docquery.fec.gov/cgi-bin/fecimg/?202008119261292445,Other Federal Operating Expenditures,,,,,,
C00575209,ANGIE CRAIG FOR CONGRESS,2019,Q1,2.01907E+17,17,500070165,1340080,ORG,ORGANIZATION,,,HOME FEDERAL,MN,,,,,BANK FEES,,,1/31/2019 0:00,0.75,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42:51.4,,,,0,,,,,,,,,,,,H,,P,F3,4.07152E+18,EAGAN,551212160,OTHER,,2020,SB,4.07262E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907159150824656,Operating Expenditures,,,,,,
C00575209,ANGIE CRAIG FOR CONGRESS,2019,Q1,2.01907E+17,17,500070433,1340080,ORG,ORGANIZATION,,,HOME FEDERAL,MN,,,,,BANK FEES,,,3/29/2019 0:00,20,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,42:51.4,,,,0,,,,,,,,,,,,H,,P,F3,4.07152E+18,EAGAN,551212160,OTHER,,2020,SB,4.07262E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907159150824657,Operating Expenditures,,,,,,
